"","x"
"Daniel Webster",0.0201628611760587
"Isaac Van Zandt",0.291844004205701
"A Friend of Treat in Mexico",0
"a Friend of Treat in New Orleans Vitalba",1.11397529763867e-17
"A. de Saligny",0.453775366444334
"Abner S. Lipscomb",0.169366922909417
"Anson Jones",0.948056615171645
"Ashbel Smith",1
"Ebenezer Allen",0.432580946195875
"James S. Mayfield",0.267014665995211
"Sam Houston",0.21740776915965
"Secretary of State Mayfield",0.0619018839194179
"A. Gloux",0
"Alleye de Cyprey",2.22795059527734e-17
"A. Hutchinson",2.22795059527734e-17
"A. J. Donelson",0.331990665544056
"Secretary of State Allen",0.16803606403055
"A. J. Yates",0
"Stephen F. Austin",7.4265019842578e-18
"A. M. Green",0.154511882447936
"Joseph Eve",0.266550574692509
"A. P. Upshur",0.0201628611760587
"A. S. Wright",0
"Barnard E. Bee",0.147644070059527
"John Merle",0.0112669595954274
"Mirabeau B. Lamar",0.219895308122858
"Nathaniel Amory",0.12850824930867
"William Bryan",0.0112669595954274
"Wm. Bryan",0.0449911479218604
"A. Somervell",0
"M. C. Hamilton",2.22795059527734e-17
"A. T. Biimley",0
"David G. Burnet",0.153712870547837
"A. T. Burnley",0
"Abel Smith",0
"Lord Aberdeen",0.179223673302161
"Abb6 Anduz6",0.0179888857946876
"Alc6e La Branche",0.0577429961271304
"Geo. H. Flood",0.0730593862956008
"Hamilton and Burnley",0.0186903109278283
"James Hamilton",0.341277252863814
"James Hamilton and A. T. Bumley",0.0186903109278283
"James Treat",0.079253468855366
"R. Pakenham",0.153539372905875
"Address of Tilghman A. Howard",0
"Aflbbel Smith",0
"Al. Bourgeois",0.273983273843176
"Charles Elliot",0.357790860788978
"Charles H. Raymond",0.331990665544056
"G. W. Terrell",0.255880284718991
"George S. Mcintosh",0.131430851630559
"Isaac Van 2iandt",0.131430851630559
"J. Pinckney Henderson",0.268791192905436
"James K. Polk",0.131430851630559
"James Reily",0.268505793287834
"Van Zandt and Henderson",0.211445631734388
"Victor Pirson",0.131430851630559
"Viscount J. de Cramayel",0.211445631734388
"W. S. Murphy",0.131430851630559
"William Kennedy",0.192119414286311
"Wm. Henry Daingerfield",0.353473326382996
"Zachary Taylor",0.134226066571598
"Anson Joness reply",0
"Howard *s address 294",1.11397529763867e-17
"Anto. Lopez de Santa Anna",0.0191485610736605
"Antonio Canales",0
"Arthur Ikin",0.137074941657275
"Baron de Cetto",0.137074941657275
"Edward Everett",0.137074941657275
"General Sancho",0.137074941657275
"Geo. S. Mcintosh",0.263246493299611
"H. U. Addington",0.137074941657275
"Henry Castro",0.19737801582526
"Joseph Hume",0.137074941657275
"Lachlin M. Rate",0.204727389406073
"M. Guizot",0.238619509992358
"M. P. Russell",0.137074941657275
"Martinez de La Rosa",0.137074941657275
"Samuel Amory",0.137074941657275
"Stewart Newell",0.137074941657275
"Texan Consuls",0.137074941657275
"Theodore Barbey",0.137074941657275
"Washington Irving",0.137074941657275
"Wm. Pringle",0.137074941657275
"Balie Peyton",0
"M. S. CucuUu",1.11397529763867e-17
"BaniaxdE. Bee",0
"James Webb",0.127889882061601
"Secretary of State Lipscomb",0.0374394475442295
"Brenham and Cooke",0
"Secretary of State Roberts",0.0987482587346143
"Certificate of Exchange of Ratification of Convention as",0
"Debt be-",1.11397529763867e-17
"Charles de Castell",0
"Secretary of State Jones",0.20446421319226
"John C. Calhoun",0.0534232199504058
"the Secretary of State of Texas Allen",0.0512871432156661
"the Secretary of State of Texas Jones",0.0800321370326975
"Chas. H. Raymond",0
"Correspondent at Vera Cruz",0
"Correspondent in Tampico",0
"T. Toby",1.11397529763867e-17
"Count Mol6",0.0168835349967233
"D. Parker",0
"D. Rowlett",0
"David G. Bumet",0.0256429431719583
"DaAdd G. Burnet",0
"Richard G. Dunlap",0.0380571190541002
"David S. Kaufman",0.0580073917008793
"James Buchanan",0.0240574479600091
"Declaration of Wyse as",0
"goods shipped on Santa Maria",1.11397529763867e-17
"Duff Green",0
"E. A. Rhodes",0.0592153770953293
"E. W. Moore",0.0304900912071108
"Joaquin Rivas Sayas",0.0057991952592021
"Muabeau B. Lamar",0.0057991952592021
"PedrffLemus",0.0057991952592021
"William D. Lee",0.0586293852886993
"Eddy and Moss",0
"the collector of the customs at New Orleans",1.11397529763867e-17
"Fran. Pizarro Martinez",2.22795059527734e-17
"G . W. TerreU",0
"G. Loomis",0
"W. W. S. Bliss",1.11397529763867e-17
"G. W. Hill",0
"Adrian Woll",1.11397529763867e-17
"Lord Clarendon",0.0385656874254371
"Gabriel Shaw",0
"Geo. Fisher",0
"Geo. L. Hammeken",0
"Geo. W. Hockley",0
"H. S. Fox",0.0603030741679854
"James H. Starr",0.00448583347012841
"Henry J. Jewett",0.0393351979691678
"Holford &amp; Co. to Ashbel Smith",0
" undated 1159",1.11397529763867e-17
"Ird Palmerston",0
"Ignacio de Mora",0.0179888857946876
"Information given by Henry J. Jewett",0
"Instructions",0
"Peraza",1.11397529763867e-17
"William S. Archer",0.0201628611760587
"J. C. Spencer",0
"J. H. Brower",0
"J. M. Porter",0
"H. S. Legar",1.11397529763867e-17
"Lizardi &lt;k Co.",0.0168835349967233
"Lord Palmerston",0.0771866091647087
"R. A. Irion",0.0168835349967233
"Secretary of State",0.0168835349967233
"Secretary of State Bee",0.0168835349967233
"Secretary of State Burnet",0.0168835349967233
"Secretary of State Irion",0.0168835349967233
"J. R. Poinsett",0
"J. Y. Mason",0
"Jacob Barker",0
"Jacob Snively",2.22795059527734e-17
"Geo. W. HUl",1.11397529763867e-17
"Jamee HamUton",0
"Wm. Sevey",2.22795059527734e-17
"Lords of the Treasury",0.0603030741679854
"Monroe Edwards",0.0603030741679854
"R. Copeland",0.0603030741679854
